Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to Region value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Male,18+ yrs,,,2015/16,67.53949,67.21113,67.86226,67.01801,68.06309,,78176,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Female,18+ yrs,,,2015/16,54.80153,54.47626,55.12123,54.29384,55.30582,,92097,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,85+ yrs,,,2015/16,64.14667,62.4924,65.80547,61.64131,66.74775,,3290,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,25-34 yrs,,,2015/16,49.67861,48.99345,50.38179,48.5918,50.7388,,20168,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,35-44 yrs,,,2015/16,59.43001,58.83266,60.02508,58.47305,60.32781,,26419,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,45-54 yrs,,,2015/16,67.12801,66.59606,67.64852,66.30148,67.99934,,30215,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,55-64 yrs,,,2015/16,71.22063,70.73885,71.69977,70.47225,71.9986,,34134,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,65-74 yrs,,,2015/16,72.7598,72.28675,73.23686,72.01448,73.52354,,34525,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,75-84 yrs,,,2015/16,72.15352,71.42451,72.90231,71.02662,73.34992,,14075,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,,,2015/16,61.24163,61.00672,61.4707,60.86696,61.5723,,170273,,,Not compared,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Working status,Inactive,2015/16,62.85734,62.47916,63.22775,62.26213,63.44321,,63586,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Working status,Unemployed,2015/16,63.69186,62.19839,65.14745,61.34536,65.92737,,4103,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Working status,Working,2015/16,61.72729,61.4147,62.03723,61.21914,62.22514,,92048,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Disability,Disabled,2015/16,70.35942,69.82253,70.89953,69.50763,71.20009,,27948,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Disability,Not disabled,2015/16,59.42143,59.1641,59.67699,59.01991,59.81375,,134541,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Most deprived decile,2015/16,67.34482,66.6001,68.06896,66.14918,68.5455,,15524,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Second most deprived decile,2015/16,63.65104,62.9201,64.38695,62.49301,64.7645,,16157,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Third more deprived decile,2015/16,63.36514,62.63776,64.09126,62.24459,64.51422,,16787,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fourth more deprived decile,2015/16,61.99467,61.26438,62.72012,60.84172,63.08406,,17036,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fifth more deprived decile,2015/16,61.41557,60.68749,62.15902,60.28616,62.58943,,17193,,,Similar,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fifth less deprived decile,2015/16,59.76468,59.03295,60.4929,58.61173,60.88513,,17331,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Fourth less deprived decile,2015/16,58.31585,57.59345,59.05318,57.15264,59.53979,,17469,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Third less deprived decile,2015/16,59.48222,58.74943,60.20957,58.21688,60.57604,,17464,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Second least deprived decile,2015/16,58.55165,57.82969,59.27543,57.43282,59.71766,,17638,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,LSOA11 deprivation deciles in England (IMD2015),Least deprived decile,2015/16,56.61713,55.89067,57.32246,55.44927,57.69581,,17672,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,White British,2015/16,61.99099,61.74142,62.24322,61.60524,62.36578,,146869,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,White Other,2015/16,56.98898,55.93496,58.03717,55.24971,58.62952,,8610,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,Asian,2015/16,57.63872,56.39747,58.90661,55.7494,59.67099,,6018,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,Black,2015/16,73.51196,71.52152,75.42543,70.42037,76.42643,,1998,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,Chinese,2015/16,36.41158,33.25554,39.67328,31.38845,41.42357,,857,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,Mixed,2015/16,53.75141,51.20994,56.24591,49.83649,57.68476,,1529,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Ethnic groups,Other,2015/16,58.45059,55.66751,61.20907,53.82032,62.97229,,1191,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Level of education,No qualification,2015/16,68.95245,68.24456,69.67178,67.8538,70.02545,,16117,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Level of education,Another type of qualification,2015/16,66.0798,65.12103,67.03604,64.55082,67.52018,,9295,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Level of education,Level 1 and below,2015/16,66.32602,64.85233,67.7569,63.87598,68.51357,,4097,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Level of education,Level 2 and equivalent,2015/16,64.92373,64.3614,65.48182,64.09651,65.78968,,27936,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Level of education,Level 3 and equivalent,2015/16,62.58212,61.95606,63.21213,61.58988,63.59108,,23486,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Level of education,Level 4 and above,2015/16,57.34151,57.0044,57.66752,56.79046,57.84597,,84604,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,"Managerial, administrative and professional occupations",2015/16,52.42405,52.08311,52.75459,51.90593,52.93994,,85784,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Intermediate occupations,2015/16,50.72627,49.98547,51.46777,49.53787,51.86305,,17203,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Self-employed and small employers,2015/16,56.35497,55.43043,57.27315,54.90925,57.78503,,10745,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Lower supervisory and technical occupations,2015/16,61.44242,60.5784,62.32725,60.12625,62.82204,,11722,,,Similar,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Semi-routine and routine occupations,2015/16,56.66856,55.89724,57.44763,55.44237,57.94097,,15609,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Long term unemployed or never worked,2015/16,56.91933,55.03903,58.76508,54.11639,59.75873,,2818,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Students,2015/16,50.9402,49.28977,52.58523,48.38065,53.49435,,3520,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,Socioeconomic class,Other/unclassified,2015/16,55.24549,53.93136,56.56437,53.22313,57.30888,,5507,,,Better,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Most deprived decile (IMD2019),2015/16,64.80045,63.98896,65.56727,63.55012,66.07687,,14129,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Second most deprived decile (IMD2019),2015/16,65.31385,64.31788,66.3011,63.79749,66.83285,,9027,,,Worse,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Third more deprived decile (IMD2019),2015/16,61.67806,60.79673,62.53854,60.29668,63.06359,,11999,,,Similar,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fourth more deprived decile (IMD2019),2015/16,61.1997,60.32019,62.10203,59.79558,62.61762,,11056,,,Similar,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fifth more deprived decile (IMD2019),2015/16,61.79189,61.02398,62.59932,60.56795,62.98626,,14473,,,Similar,Not compared,20150000,,,1y
93088,Percentage of adults (aged 18 plus) classified as overweight or obese,,,E92000001,England,England,Persons,18+ yrs,"County & UA deprivation deciles in England (IMD2019, 4/21 geography)",Fifth less deprived decile (IMD2019),2015/16,59.65937,58.96847,60.37427,58.5783,60.75895,,18710,,,Better,Not compared,20150000,,,1y
