$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_1,/Place/BikePoints_1,"River Street , Clerkenwell",BikePoint,51.529163,-0.10997
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_2,/Place/BikePoints_2,"Phillimore Gardens, Kensington",BikePoint,51.499606,-0.197574
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_3,/Place/BikePoints_3,"Christopher Street, Liverpool Street",BikePoint,51.521283,-0.084605
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_4,/Place/BikePoints_4,"St. Chad's Street, King's Cross",BikePoint,51.530059,-0.120973
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_5,/Place/BikePoints_5,"Sedding Street, Sloane Square",BikePoint,51.49313,-0.156876
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_6,/Place/BikePoints_6,"Broadcasting House, Marylebone",BikePoint,51.518117,-0.144228
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_7,/Place/BikePoints_7,"Charlbert Street, St. John's Wood",BikePoint,51.5343,-0.168074
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_8,/Place/BikePoints_8,"Maida Vale, Maida Vale",BikePoint,51.529857,-0.183486
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_9,/Place/BikePoints_9,"New Globe Walk, Bankside",BikePoint,51.507385,-0.09644
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_10,/Place/BikePoints_10,"Park Street, Bankside",BikePoint,51.505974,-0.092754
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_11,/Place/BikePoints_11,"Brunswick Square, Bloomsbury",BikePoint,51.523951,-0.122502
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_12,/Place/BikePoints_12,"Malet Street, Bloomsbury",BikePoint,51.52168,-0.130431
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_13,/Place/BikePoints_13,"Scala Street, Fitzrovia",BikePoint,51.519914,-0.136039
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_14,/Place/BikePoints_14,"Argyle Street, Kings Cross",BikePoint,51.529416,-0.123944
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_15,/Place/BikePoints_15,"Great Russell Street, Bloomsbury",BikePoint,51.517727,-0.127854
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_16,/Place/BikePoints_16,"Cartwright Gardens , Bloomsbury",BikePoint,51.526357,-0.125979
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_17,/Place/BikePoints_17,"Hatton Wall, Holborn",BikePoint,51.521661,-0.109006
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_18,/Place/BikePoints_18,"Drury Lane, Covent Garden",BikePoint,51.51477,-0.122219
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_19,/Place/BikePoints_19,"Taviton Street, Bloomsbury",BikePoint,51.52505,-0.131161
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_20,/Place/BikePoints_20,"Drummond Street , Euston",BikePoint,51.527326,-0.136052
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_21,/Place/BikePoints_21,"Lansdowne Drive, Hackney Central",BikePoint,51.539834,-0.062806
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_22,/Place/BikePoints_22,"Northington Street , Holborn",BikePoint,51.522264,-0.114079
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_23,/Place/BikePoints_23,"Red Lion Square, Holborn",BikePoint,51.519435,-0.119123
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_24,/Place/BikePoints_24,"British Museum, Bloomsbury",BikePoint,51.51908,-0.124678
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_25,/Place/BikePoints_25,"Doric Way , Somers Town",BikePoint,51.528833,-0.13225
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_26,/Place/BikePoints_26,"Ampton Street , Clerkenwell",BikePoint,51.52728,-0.118295
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_27,/Place/BikePoints_27,"Bouverie Street, Temple",BikePoint,51.513821,-0.107927
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_28,/Place/BikePoints_28,"Bolsover Street, Fitzrovia",BikePoint,51.523518,-0.143613
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_29,/Place/BikePoints_29,"Hereford Road, Bayswater",BikePoint,51.513735,-0.193487
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_30,/Place/BikePoints_30,"Windsor Terrace, Hoxton",BikePoint,51.529154,-0.093421
