lsoa,count
E01002729,2
E01002865,2
E01033708,7
E01000938,1
E01002859,2
E01004765,5
E01004724,2
E01004709,1
E01003935,3
E01000853,1
E01000850,3
E01000851,3
E01000939,2
E01000855,4
E01000943,1
E01000916,2
E01000918,3
E01000852,4
E01000945,2
E01001815,1
E01000920,1
E01000914,7
E01000956,2
E01000940,2
E01032740,9
E01004715,1
E01004654,2
E01001779,3
E01033711,2
E01004325,3
E01000953,3
E01002891,3
E01002849,1
E01002813,2
E01033706,1
E01004307,5
E01004712,2
E01033595,6
E01004659,2
E01004293,3
E01004703,1
E01032739,19
E01004761,6
E01002725,1
E01002706,1
E01000003,1
E01004717,1
E01000915,1
E01033598,2
E01003936,1
E01003108,2
E01004734,3
E01000854,2
E01000917,1
E01002697,3
E01002724,2
E01002704,3
E01033208,1
E01002803,2
E01000944,1
E01033489,2
E01004735,13
E01003930,3
E01032646,3
E01003105,2
E01000937,1
E01000947,1
E01003015,2
E01003932,2
E01002696,1
E01003941,2
E01000001,2
E01001777,2
E01002890,1
E01000946,2
E01004657,2
E01003109,4
E01002826,2
E01002703,2
E01004732,1
E01004763,5
E01004726,1
E01004762,7
E01002887,1
E01004727,2
E01000005,3
E01003112,2
E01004744,3
E01002701,2
E01000002,5
E01004714,5
E01002723,1
E01004690,2
E01003929,2
E01002888,1
E01033596,2
E01000952,1
E01004317,4
E01002889,1
E01003013,4
E01002814,2
E01002863,2
E01003106,2
E01002864,1
E01004737,2
E01004740,1
E01003101,2
E01002819,1
E01002882,1
E01032719,2
E01004689,4
E01032582,9
E01002812,1
E01032720,1
E01002816,1
E01002847,1
E01004736,7
E01004749,2
E01002858,2
E01004696,1
E01004656,3
E01002818,2
E01004750,2
E01004680,1
E01002726,3
E01002834,1
E01002822,1
E01003016,4
E01004748,2
E01004753,2
E01033603,1
E01004562,3
E01004713,2
E01033594,2
E01002835,3
E01004658,2
E01002695,1
E01004691,4
E01003927,4
E01003934,4
E01004662,1
E01032767,1
E01004670,1
E01002825,3
E01002837,1
E01002914,1
E01002894,1
E01002862,1
E01004743,1
E01003961,1
E01004695,1
E01002884,2
E01004733,4
E01002794,2
E01003014,2
E01004294,2
E01004702,1
E01004716,1
E01000919,2
E01004668,1
E01004725,2
E01003937,1
E01002903,1
E01001781,1
E01002727,1
E01004705,1
E01004688,5
E01004666,2
E01004699,1
E01004684,1
E01004747,2
E01003938,1
E01003102,1
E01004730,2
E01004027,3
E01002861,1
E01004208,2
E01004729,1
E01033593,2
E01004669,1
E01002867,1
E01004741,1
E01003939,1
E01002850,1
E01032640,1
E01004608,1
E01002827,2
E01003940,1
E01004651,1
E01004731,6
E01003943,1
E01004315,2
E01002802,1
E01033709,1
E01004681,1
E01002851,1
E01000862,2
E01002707,1
E01002899,1
E01002702,1
E01003032,1
E01002821,4
E01000959,1
E01004745,2
E01002892,1
E01002886,1
E01004663,1
E01004700,1
E01004311,1
E01033602,1
E01033604,1
E01004034,1
E01033597,1
E01032583,3
E01004687,1
E01004667,1
E01004746,1
E01002910,2
E01002711,3
E01000936,1
E01002872,1
E01004326,2
E01004212,1
E01004203,3
E01004216,1
E01004277,4
E01004302,3
E01004287,2
E01004292,1
E01004303,1
E01004274,1
E01004215,1
E01000863,3
E01000858,1
E01004291,1
E01004222,2
E01004273,1
E01004285,2
E01000856,1
E01001773,2
E01001754,2
E01001776,1
E01004269,2
E01004241,1
E01004253,1
E01032784,1
