la_name,5_yearolds_overweight,5_yearolds_obese,bikepoint,rank,bikepoint_binary,11_yearolds_overweight,11_yearolds_obese,adults_overweight,adults_obese,historic_adults_overweight,historic_adults_obese,overweight_change,obese_change
City of London,,,1.0,20275.166666666668,true,,,58.23909,25.22979,43.49765,10.40444,14.741439999999997,14.825350000000002
Barking and Dagenham,23.97572,12.74659,0.0,7244.5,false,45.37815,31.65266,70.46302,30.3836,68.28775,29.67546,2.1752699999999976,0.7081400000000002
Barnet,18.65672,7.71144,0.0,19287.450236966826,false,34.18903,21.23687,57.52195,15.93438,49.19784,14.55964,8.324109999999997,1.374740000000001
Bexley,21.01576,9.45709,0.0,19696.109589041094,false,37.47981,24.07108,61.95412,28.0034,60.36224,22.16581,1.5918800000000033,5.837589999999999
Brent,18.8537,8.89894,0.0,12034.70520231214,false,40.36313,26.25698,58.83456,19.42687,56.49138,13.4655,2.343180000000004,5.9613700000000005
Bromley,18.98551,7.68116,0.0,21707.984771573603,false,32.62108,18.80342,60.8074,19.89506,60.78743,21.24331,0.01997000000000071,-1.3482500000000002
Camden,19.08714,8.71369,0.24060150375939848,16247.744360902256,true,35.98485,22.34848,50.09469,17.97042,44.07857,15.67998,6.016120000000001,2.2904400000000003
Croydon,20.33898,9.0799,0.0,14926.636363636364,false,39.93015,26.30966,62.62389,26.35393,63.37289,22.88988,-0.7489999999999952,3.4640499999999967
Ealing,19.80874,9.28962,0.0,14031.198979591836,false,37.72152,23.03797,57.60212,20.23813,56.08583,21.25671,1.516289999999998,-1.01858
Enfield,23.05556,10.83333,0.0,12698.51912568306,false,42.94404,27.98054,59.70247,21.18791,61.86236,24.45446,-2.1598900000000043,-3.2665500000000023
Greenwich,21.72573,10.63174,0.0,12654.51655629139,false,41.22024,27.23214,60.43891,21.01845,63.49197,20.14814,-3.053060000000002,0.8703099999999999
Hackney,21.99488,9.97442,0.1527777777777778,7420.611111111111,true,40.78341,26.95853,46.87825,20.19152,50.46091,13.60202,-3.582659999999997,6.589500000000001
Hammersmith and Fulham,19.81567,7.8341,0.415929203539823,14202.601769911504,true,33.33333,19.29825,49.69858,16.79354,51.06479,14.85842,-1.3662100000000024,1.9351199999999995
Haringey,19.66825,9.47867,0.0,11291.917241379311,false,38.56209,24.40087,49.03743,16.98449,52.13996,17.63766,-3.1025300000000016,-0.6531699999999994
Harrow,17.85714,8.33333,0.0,19977.0,false,36.94158,23.71134,55.19431,16.91138,51.99197,17.83676,3.2023399999999995,-0.9253800000000005
Havering,22.15569,9.73054,0.0,19197.02,false,40.06116,25.22936,60.90811,24.90813,60.65809,22.67378,0.25001999999999924,2.234349999999999
Hillingdon,19.4332,8.77193,0.0,17705.3850931677,false,38.28947,23.68421,62.3261,22.67664,55.07825,20.00556,7.24785,2.67108
Hounslow,18.50649,10.06494,0.0,14338.802816901409,false,40.70278,26.20791,61.65115,23.43276,59.61899,22.51896,2.0321600000000046,0.9137999999999984
Islington,21.63009,9.09091,0.17886178861788618,10296.512195121952,true,38.125,23.4375,51.00952,17.28145,49.47551,16.86332,1.534010000000002,0.4181299999999979
Kensington and Chelsea,17.94872,6.83761,0.6310679611650486,15419.339805825242,true,37.3913,21.73913,45.49546,11.57992,45.97552,10.2839,-0.4800600000000017,1.2960200000000004
Kingston upon Thames,18.58974,7.69231,0.0,23519.428571428572,false,28.72928,16.85083,57.16486,18.48117,51.85881,13.53028,5.306049999999999,4.950889999999999
Lambeth,23.55658,10.39261,0.1853932584269663,11294.58988764045,true,38.30228,25.2588,50.06451,14.23595,51.37465,16.26657,-1.310140000000004,-2.0306200000000008
Lewisham,20.27257,9.02896,0.0,10781.378698224851,false,40.84967,26.47059,57.75553,19.69509,56.99447,20.27298,0.7610600000000005,-0.57789
Merton,18.5446,7.98122,0.0,20967.604838709678,false,35.91022,22.69327,55.07451,19.98401,54.05134,16.7768,1.0231699999999933,3.20721
Newham,21.96532,11.56069,0.012195121951219513,8650.018292682927,true,45.49499,29.92214,47.29785,20.72181,60.38357,25.26057,-13.085720000000002,-4.53876
Redbridge,18.10919,9.85353,0.0,18068.701863354036,false,41.17647,26.72634,61.58136,24.14654,53.77881,18.11808,7.8025499999999965,6.028460000000003
Richmond upon Thames,15.01416,5.66572,0.0,25694.460869565217,false,23.29843,12.04188,56.38344,15.03951,52.62661,14.48542,3.756830000000001,0.5540900000000004
Southwark,21.74797,10.77236,0.21084337349397592,11546.481927710844,true,41.51292,27.67528,44.21426,15.42123,46.376,14.22153,-2.1617399999999947,1.1997
Sutton,16.88654,6.86016,0.0,21630.719008264463,false,31.11639,17.81473,57.79762,21.35611,53.00328,15.42241,4.794340000000005,5.933700000000002
Tower Hamlets,18.53741,10.54422,0.5625,10369.3125,true,42.68293,28.04878,47.75899,18.20726,55.55044,20.47848,-7.791450000000005,-2.2712199999999996
Waltham Forest,18.15235,8.10373,0.0,11735.375,false,40.51447,25.72347,53.20031,21.59116,53.70232,17.81632,-0.5020099999999985,3.7748399999999975
Wandsworth,19.16859,7.85219,0.22905027932960895,18713.156424581004,true,34.77273,21.81818,50.81563,14.36877,52.87353,14.19689,-2.0579000000000036,0.1718799999999998
Westminster,22.82609,10.86957,0.609375,16194.96875,true,43.68932,28.64078,49.67693,16.33908,49.74411,16.51303,-0.06718000000000046,-0.17395000000000138
